,Date,Label,Price
477,2017-12-12,CLOSE,68.20600128173828
478,2017-12-13,OPEN,68.18599700927734
479,2017-12-13,CLOSE,67.80599975585938
480,2017-12-14,OPEN,68.2020034790039
481,2017-12-14,CLOSE,67.5780029296875
482,2017-12-15,OPEN,68.40799713134766
483,2017-12-15,CLOSE,68.69000244140625
484,2017-12-18,OPEN,68.9800033569336
485,2017-12-18,CLOSE,67.77400207519531
486,2017-12-19,OPEN,68.052001953125
487,2017-12-19,CLOSE,66.22000122070312
488,2017-12-20,OPEN,66.53800201416016
489,2017-12-20,CLOSE,65.7959976196289
490,2017-12-21,OPEN,65.91799926757812
491,2017-12-21,CLOSE,66.33200073242188
492,2017-12-22,OPEN,65.9020004272461
493,2017-12-22,CLOSE,65.04000091552734
494,2017-12-26,OPEN,64.76599884033203
495,2017-12-26,CLOSE,63.45800018310547
496,2017-12-27,OPEN,63.20000076293945
497,2017-12-27,CLOSE,62.32799911499024
498,2017-12-28,OPEN,62.34999847412109
499,2017-12-28,CLOSE,63.071998596191406
500,2017-12-29,OPEN,63.23600006103516
501,2017-12-29,CLOSE,62.27000045776367
502,2018-01-02,OPEN,62.400001525878906
503,2018-01-02,CLOSE,64.10600280761719
504,2018-01-03,OPEN,64.19999694824219
505,2018-01-03,CLOSE,63.45000076293945
506,2018-01-04,OPEN,62.57400131225586
507,2018-01-04,CLOSE,62.92399978637695
508,2018-01-05,OPEN,63.32400131225586
509,2018-01-05,CLOSE,63.31600189208984
510,2018-01-08,OPEN,63.20000076293945
511,2018-01-08,CLOSE,67.28199768066406
512,2018-01-09,OPEN,67.03199768066406
513,2018-01-09,CLOSE,66.73799896240234
514,2018-01-10,OPEN,66.44000244140625
515,2018-01-10,CLOSE,66.95999908447266
516,2018-01-11,OPEN,67.0479965209961
517,2018-01-11,CLOSE,67.58999633789062
518,2018-01-12,OPEN,67.72599792480469
519,2018-01-12,CLOSE,67.24400329589844
520,2018-01-16,OPEN,67.50800323486328
521,2018-01-16,CLOSE,68.01200103759766
522,2018-01-17,OPEN,68.09400177001953
523,2018-01-17,CLOSE,69.43199920654297
524,2018-01-18,OPEN,69.13400268554688
525,2018-01-18,CLOSE,68.91400146484375
526,2018-01-19,OPEN,69.0
527,2018-01-19,CLOSE,70.00399780273438
528,2018-01-22,OPEN,69.87999725341797
529,2018-01-22,CLOSE,70.31199645996094
530,2018-01-23,OPEN,72.0
531,2018-01-23,CLOSE,70.55799865722656
532,2018-01-24,OPEN,70.91600036621094
533,2018-01-24,CLOSE,69.1780014038086
534,2018-01-25,OPEN,69.65399932861328
535,2018-01-25,CLOSE,67.52799987792969
536,2018-01-26,OPEN,68.30000305175781
537,2018-01-26,CLOSE,68.56999969482422
538,2018-01-29,OPEN,67.97000122070312
539,2018-01-29,CLOSE,69.90599822998047
540,2018-01-30,OPEN,69.02799987792969
541,2018-01-30,CLOSE,69.16400146484375
542,2018-01-31,OPEN,69.50199890136719
543,2018-01-31,CLOSE,70.86199951171875
544,2018-02-01,OPEN,70.19999694824219
545,2018-02-01,CLOSE,69.8499984741211
546,2018-02-02,OPEN,69.68800354003906
547,2018-02-02,CLOSE,68.75
548,2018-02-05,OPEN,67.59400177001953
549,2018-02-05,CLOSE,66.6259994506836
550,2018-02-06,OPEN,65.04199981689453
551,2018-02-06,CLOSE,66.79399871826172
552,2018-02-07,OPEN,67.7979965209961
553,2018-02-07,CLOSE,69.0
554,2018-02-08,OPEN,68.66200256347656
555,2018-02-08,CLOSE,63.04600143432617
556,2018-02-09,OPEN,63.98600006103516
557,2018-02-09,CLOSE,62.08399963378906
558,2018-02-12,OPEN,63.22600173950195
559,2018-02-12,CLOSE,63.14599990844727
560,2018-02-13,OPEN,63.00400161743164
561,2018-02-13,CLOSE,64.73200225830078
562,2018-02-14,OPEN,64.16799926757812
563,2018-02-14,CLOSE,64.46199798583984
564,2018-02-15,OPEN,64.9000015258789
565,2018-02-15,CLOSE,66.81400299072266
566,2018-02-16,OPEN,66.5
567,2018-02-16,CLOSE,67.0979995727539
568,2018-02-20,OPEN,66.89399719238281
569,2018-02-20,CLOSE,66.9540023803711
570,2018-02-21,OPEN,67.20600128173828
571,2018-02-21,CLOSE,66.66000366210938
572,2018-02-22,OPEN,67.10600280761719
